ship_type,route_id,distance,fuel_type,fuel_consumption,CO2_emissions,weather_conditions,engine_efficiency,speed,load,operational_cost
Oil Service Boat,Warri-Bonny,132.26,Diesel,5113.8,13359.8,Stormy,92.14,15.62,98.5,3068.28
Oil Service Boat,Port Harcourt-Lagos,128.52,Ammonia,11915.94,1638.44,Moderate,92.98,24.26,54.7,10724.35
Oil Service Boat,Port Harcourt-Lagos,67.3,HFO,4074.21,11204.08,Calm,87.61,20.98,83.63,2037.1
Oil Service Boat,Port Harcourt-Lagos,71.68,HFO,3688.59,10143.62,Stormy,87.42,18.98,72.19,1844.3
Oil Service Boat,Lagos-Apapa,134.32,HFO,3596.85,9891.34,Calm,85.61,12.34,93.41,1798.42
Oil Service Boat,Port Harcourt-Lagos,85.93,Ammonia,1741.59,239.47,Stormy,72.82,12.34,58.86,1567.43
Oil Service Boat,Warri-Bonny,85.67,LNG,1939.05,3999.29,Moderate,93.93,10.87,84.63,872.57
Oil Service Boat,Warri-Bonny,44.81,Diesel,3764.08,9833.66,Moderate,91.1,22.99,91.91,2258.45
Oil Service Boat,Escravos-Lagos,116.44,Methanol,9158.99,22668.5,Calm,73.41,19.02,97.23,6411.29
Oil Service Boat,Lagos-Apapa,99.73,Methanol,6493.81,16072.18,Moderate,94.68,20.62,84.16,4545.67
Oil Service Boat,Port Harcourt-Lagos,149.9,Diesel,1798.21,4697.82,Stormy,76.53,10.31,74.86,1078.93
Oil Service Boat,Escravos-Lagos,53.21,LNG,5320.55,10973.63,Calm,84.59,24.55,80.89,2394.25
Fishing Trawler,Warri-Bonny,92.03,Methanol,7470.05,18488.37,Moderate,85.52,22.49,93.45,5229.04
Fishing Trawler,Escravos-Lagos,141.91,LNG,3268.25,6740.77,Calm,83.52,13.19,78.53,1470.71
Fishing Trawler,Escravos-Lagos,51.65,HFO,669.77,1841.87,Calm,74.32,12.73,51.52,334.88
Fishing Trawler,Lagos-Apapa,197.46,Ammonia,7415.73,1019.66,Moderate,89.36,12.75,96.55,6674.16
Fishing Trawler,Port Harcourt-Lagos,72.25,LNG,2186.72,4510.11,Stormy,78.01,14.56,84.48,984.02
Fishing Trawler,Port Harcourt-Lagos,183.15,Diesel,5642.27,14740.43,Calm,80.83,17.87,83.83,3385.36
Fishing Trawler,Warri-Bonny,160.43,Diesel,3370.16,8804.54,Stormy,77.8,16.48,60.78,2022.1
Fishing Trawler,Port Harcourt-Lagos,121.07,HFO,2478.06,6814.66,Calm,76.08,14.37,82.94,1239.03
Fishing Trawler,Lagos-Apapa,193.59,HFO,8455.39,23252.32,Calm,87.91,19.18,69.69,4227.7
Fishing Trawler,Escravos-Lagos,144.15,Methanol,3131.98,7751.65,Moderate,83.86,12.09,82.56,2192.39
Fishing Trawler,Lagos-Apapa,154.6,HFO,3113.58,8562.34,Stormy,92.07,14.38,55.33,1556.79
Fishing Trawler,Port Harcourt-Lagos,173.83,Diesel,5660.75,14788.71,Calm,76.39,15.5,82.89,3396.45
Oil Service Boat,Escravos-Lagos,112.97,LNG,6018.15,12412.43,Stormy,70.62,16.84,99.97,2708.17
Oil Service Boat,Lagos-Apapa,45.14,HFO,2188.69,6018.9,Moderate,71.66,21.78,52.41,1094.34
Oil Service Boat,Port Harcourt-Lagos,29.38,Hydrogen,2116.29,0.0,Calm,81.53,13.0,98.86,3174.44
